OBJECTID,GEOMETRYID,TRAILNAME,TRLALTNAME,TRLLABEL,TRLFEATTYPE,TRAILSTATUS,TRLSURFACE,TRAILTYPE,TRAILCLASS,TRLUSE,DISTRIBUTE,RESTRICTION,UNITCODE,ISEXTANT,UNITNAME,GROUPCODE,REGIONCODE,CREATEDATE,EDITDATE,MAPMETHOD,MAPSOURCE,SOURCESCALE,SOURCEDATE,XYERROR,FMSSID,ASSETID,NOTES,FEATUREID,EDITBY,CREATEBY,FACILITYTYPE,ASSETCODE,COUNTY,LANDFORM,MANAGEMENTZONE,WATERSHED,LON,LAT,COORD_SYSTEM,DATUM,UTM_ZONE,X_COORD,Y_COORD,STATE,QUADNAME,HERROR,VERROR,PARKDISTRICT,FMSS_LOC,FMSS_ASSET,LOC_NAME,MTFCC,FRA,ACCESS,AGENCY_DAT,ACCESS_STA,ADMIN_ORG,CONG_DIST,DESIGN_USE,HIST_SIGNF,JURIDICT,LAND_PLAN,MANGED_US,MTR_PROHIBITED,NAT_TR_DES,PR_TR_MNTR,PROHIB_USE,ROW,ROAD_SYS,SHARED_SYS,SPC_MGT_AR,GRSM_STATUS,RuleID,Shape__Length
811,3ead4d64-23b4-4914-9e43-d8a682734594,Appalachian Trail,,Appalachian Trail,Park Trail (only),Existing,Native,Standard Terra Trail,Class 3: Developed,,Public ,Unrestricted,GRSM,Yes,Great Smoky Mountains National Park,,Southeast Region,2017-07-26T16:21:53.461Z,2017-07-26T16:21:53.461Z,Differential GPS,,,2005-11-15T00:00:00.000Z,> 1 m and <= 5 m,,,,,GRSM_GIS,GRSM_GIS,,Trail,Sevier,,,Upper Oconaluftee River,,,GCS,NAD83,17,,,North Carolina,CLINGMANS DOME,>1m <=5m,,Oconaluftee District,0,,,Walkway/Pedestrian Trail ,,Open,NATIONAL PARK SERVICE,NOT EVALUATED,GRSM,Congressional District 4,HIKER/PEDESTRIAN,NOT EVALUATED,NATIONAL PARK SERVICE,,,YES,Appalachian Trail,NATIONAL PARK SERVICE,,,,,,1,Trail Located by GPS (Open),0.0277482887157491
812,85ceee72-9c84-4ad7-848b-4f0faa597fe0,Appalachian Trail,,Appalachian Trail,Park Trail (only),Existing,Native,Standard Terra Trail,Class 3: Developed,,Public ,Unrestricted,GRSM,Yes,Great Smoky Mountains National Park,,Southeast Region,2017-07-26T16:21:53.461Z,2017-07-26T16:21:53.461Z,Differential GPS,,,2008-07-14T00:00:00.000Z,> 1 m and <= 5 m,,,,,GRSM_GIS,GRSM_GIS,,Trail,Cocke,,,Big Creek,,,GCS,NAD83,17,,,North Carolina,LUFTEE KNOB,>1m <=5m,,Cosby District,0,,,Bridle Path ,,Open,NATIONAL PARK SERVICE,NOT EVALUATED,GRSM,Congressional District 3,HIKER/PEDESTRIAN/PACK AND SADDLE,NOT EVALUATED,NATIONAL PARK SERVICE,,,YES,Appalachian Trail,NATIONAL PARK SERVICE,,,,,,2,Horse Trail Located by GPS (Open),0.0383073983404449
813,b3ea2ae9-0855-49dc-b467-451c46df305b,Appalachian Trail,,Appalachian Trail,Park Trail (only),Existing,Native,Standard Terra Trail,Class 3: Developed,,Public ,Unrestricted,GRSM,Yes,Great Smoky Mountains National Park,,Southeast Region,2017-07-26T16:21:53.461Z,2017-07-26T16:21:53.461Z,Differential GPS,,,2002-07-26T00:00:00.000Z,> 1 m and <= 5 m,,,,,GRSM_GIS,GRSM_GIS,,Trail,Cocke,,,Big Creek,,,GCS,NAD83,17,,,North Carolina,HARTFORD,>1m <=5m,,Cosby District,0,,,Bridle Path ,,Open,NATIONAL PARK SERVICE,NOT EVALUATED,GRSM,Congressional District 4,HIKER/PEDESTRIAN/PACK AND SADDLE,NOT EVALUATED,NATIONAL PARK SERVICE,,,YES,Appalachian Trail,NATIONAL PARK SERVICE,,,,,,2,Horse Trail Located by GPS (Open),0.0327975491638835
814,9fab5138-9d74-432b-b761-012b1718aadb,Appalachian Trail,,Appalachian Trail,Park Trail (only),Existing,Native,Standard Terra Trail,Class 3: Developed,,Public ,Unrestricted,GRSM,Yes,Great Smoky Mountains National Park,,Southeast Region,2017-07-26T16:21:53.461Z,2017-07-26T16:21:53.461Z,Differential GPS,,,2002-07-26T00:00:00.000Z,> 1 m and <= 5 m,,,,,GRSM_GIS,GRSM_GIS,,Trail,Cocke,,,Pigeon River-Cripple Creek,,,GCS,NAD83,17,,,North Carolina,HARTFORD,>1m <=5m,,Cosby District,0,,,Bridle Path ,,Open,NATIONAL PARK SERVICE,NOT EVALUATED,GRSM,Congressional District 2,HIKER/PEDESTRIAN/PACK AND SADDLE,NOT EVALUATED,NATIONAL PARK SERVICE,,,YES,Appalachian Trail,NATIONAL PARK SERVICE,,,,,,2,Horse Trail Located by GPS (Open),0.0319752744333204
815,09b065b6-f8ba-445f-983b-16786d5516aa,Baskins Creek Trail,,Baskins Creek Trail,Park Trail (only),Existing,Native,Standard Terra Trail,Class 3: Developed,,Public ,Unrestricted,GRSM,Yes,Great Smoky Mountains National Park,,Southeast Region,2017-07-26T16:21:53.461Z,2017-07-26T16:21:53.461Z,Differential GPS,,,2006-06-15T00:00:00.000Z,> 1 m and <= 5 m,,,,,GRSM_GIS,GRSM_GIS,,Trail,Sevier,,,Baskins Creek,,,GCS,NAD83,17,,,Tennessee,MOUNT LE CONTE,>1m <=5m,,Little River District,46838,,,Walkway/Pedestrian Trail ,,Open,NATIONAL PARK SERVICE,NOT EVALUATED,GRSM,Congressional District 1,HIKER/PEDESTRIAN,NOT EVALUATED,NATIONAL PARK SERVICE,,,YES,,NATIONAL PARK SERVICE,,,,,,1,Trail Located by GPS (Open),0.0212942571193788
816,722f56b5-781a-486f-bbc3-3879a6df641e,Baskins Creek Trail,,Baskins Creek Trail,Park Trail (only),Existing,Native,Standard Terra Trail,Class 3: Developed,,Public ,Unrestricted,GRSM,Yes,Great Smoky Mountains National Park,,Southeast Region,2017-07-26T16:21:53.461Z,2017-07-26T16:21:53.461Z,Differential GPS,,,2006-06-15T00:00:00.000Z,> 1 m and <= 5 m,,,,,GRSM_GIS,GRSM_GIS,,Trail,Sevier,,,Baskins Creek,,,GCS,NAD83,17,,,Tennessee,MOUNT LE CONTE,>1m <=5m,,Little River District,46838,,,Walkway/Pedestrian Trail ,,Open,NATIONAL PARK SERVICE,NOT EVALUATED,GRSM,Congressional District 1,HIKER/PEDESTRIAN,NOT EVALUATED,NATIONAL PARK SERVICE,,,YES,,NATIONAL PARK SERVICE,,,,,,1,Trail Located by GPS (Open),0.0212519076079513
817,b5a54978-9353-43a1-8ed7-4b5d9c250099,Big Creek Trail,,Big Creek Trail,Park Trail (only),Existing,Native,Standard Terra Trail,Class 3: Developed,,Public ,Unrestricted,GRSM,Yes,Great Smoky Mountains National Park,,Southeast Region,2017-07-26T16:21:53.461Z,2017-07-26T16:21:53.461Z,Differential GPS,,,2002-07-13T00:00:00.000Z,> 1 m and <= 5 m,,,,,GRSM_GIS,GRSM_GIS,,Trail,Haywood,,,Big Creek,,,GCS,NAD83,17,,,North Carolina,WATERVILLE,>1m <=5m,,Cosby District,44236,,,Bridle Path ,Yes,Open,NATIONAL PARK SERVICE,NOT EVALUATED,GRSM,Congressional District 1,HIKER/PEDESTRIAN/PACK AND SADDLE,NOT EVALUATED,NATIONAL PARK SERVICE,,,YES,,NATIONAL PARK SERVICE,,,,,,2,Horse Trail Located by GPS (Open),0.0828205520664144
818,891b5328-1b1e-4ef8-8e48-9087b8071506,Big Creek Trail,,Big Creek Trail,Park Trail (only),Existing,Native,Standard Terra Trail,Class 3: Developed,,Public ,Unrestricted,GRSM,Yes,Great Smoky Mountains National Park,,Southeast Region,2017-07-26T16:21:53.461Z,2017-07-26T16:21:53.461Z,Differential GPS,,,2002-07-13T00:00:00.000Z,> 1 m and <= 5 m,,,,,GRSM_GIS,GRSM_GIS,,Trail,Haywood,,,Big Creek,,,GCS,NAD83,17,,,North Carolina,LUFTEE KNOB,>1m <=5m,,Cosby District,44236,,,Bridle Path ,,Open,NATIONAL PARK SERVICE,NOT EVALUATED,GRSM,Congressional District 1,HIKER/PEDESTRIAN/PACK AND SADDLE,NOT EVALUATED,NATIONAL PARK SERVICE,,,YES,,NATIONAL PARK SERVICE,,,,,,2,Horse Trail Located by GPS (Open),0.0108485532737551
819,668c0fb1-7bdc-4426-8611-f47235eb28cd,Bone Valley Trail,,Bone Valley Trail,Park Trail (only),Existing,Native,Standard Terra Trail,Class 3: Developed,,Public ,Unrestricted,GRSM,Yes,Great Smoky Mountains National Park,,Southeast Region,2017-07-26T16:21:53.461Z,2017-07-26T16:21:53.461Z,Differential GPS,,,2002-07-13T00:00:00.000Z,> 1 m and <= 5 m,,,,,GRSM_GIS,GRSM_GIS,,Trail,Swain,,,Hazel Creek,,,GCS,NAD83,17,,,North Carolina,THUNDERHEAD MOUNTAIN,>1m <=5m,,Deep Creek District,0,,,Bridle Path ,Yes,Open,NATIONAL PARK SERVICE,NOT EVALUATED,GRSM,Congressional District 1,HIKER/PEDESTRIAN/PACK AND SADDLE,NOT EVALUATED,NATIONAL PARK SERVICE,,,YES,,NATIONAL PARK SERVICE,,,"NATIONAL PARK SERVICE SYSTEM ROAD
SERVICE SYSTEM ROAD",,,2,Horse Trail Located by GPS (Open),0.0278334631839005
820,b6760f83-1c29-4d15-8277-e7b7c0c780f0,Boogerman Trail,,Boogerman Trail,Park Trail (only),Existing,Native,Standard Terra Trail,Class 3: Developed,,Public ,Unrestricted,GRSM,Yes,Great Smoky Mountains National Park,,Southeast Region,2017-07-26T16:21:53.461Z,2017-07-26T16:21:53.461Z,Differential GPS,,,2002-07-14T00:00:00.000Z,> 1 m and <= 5 m,,,,,GRSM_GIS,GRSM_GIS,,Trail,Haywood,,,Upper Cataloochee Creek,,,GCS,NAD83,17,,,North Carolina,DELLWOOD,>1m <=5m,,Cataloochee District,47274,,,Walkway/Pedestrian Trail ,,Open,NATIONAL PARK SERVICE,NOT EVALUATED,GRSM,Congressional District 1,HIKER/PEDESTRIAN,NOT EVALUATED,NATIONAL PARK SERVICE,,,YES,,NATIONAL PARK SERVICE,,,,,,1,Trail Located by GPS (Open),0.0651247714540708
821,d863aa40-e852-480d-8b80-00ab3623a680,Bote Mountain Trail,,Bote Mountain Trail,Park Trail (only),Existing,Native,Standard Terra Trail,Class 3: Developed,,Public ,Unrestricted,GRSM,Yes,Great Smoky Mountains National Park,,Southeast Region,2017-07-26T16:21:53.461Z,2017-07-26T16:21:53.461Z,Differential GPS,,,2002-07-15T00:00:00.000Z,> 1 m and <= 5 m,,,,,GRSM_GIS,GRSM_GIS,,Trail,Blount,,,Little River-Crooked Creek,,,GCS,NAD83,17,,,Tennessee,WEAR COVE,>1m <=5m,,Cades Cove District,44304,,,Bridle Path ,Yes,Open,NATIONAL PARK SERVICE,NOT EVALUATED,GRSM,Congressional District 1,HIKER/PEDESTRIAN/PACK AND SADDLE,NOT EVALUATED,NATIONAL PARK SERVICE,,,YES,,NATIONAL PARK SERVICE,,,,,,2,Horse Trail Located by GPS (Open),0.019759863927653
822,ba41bc08-d3d5-40da-9784-fb438c8b80d6,Bote Mountain Trail,,Bote Mountain Trail,Park Trail (only),Existing,Native,Standard Terra Trail,Class 3: Developed,,Public ,Unrestricted,GRSM,Yes,Great Smoky Mountains National Park,,Southeast Region,2017-07-26T16:21:53.461Z,2017-07-26T16:21:53.461Z,Differential GPS,,,2002-07-15T00:00:00.000Z,> 1 m and <= 5 m,,,,,GRSM_GIS,GRSM_GIS,,Trail,Blount,,,Little River-Crooked Creek,,,GCS,NAD83,17,,,Tennessee,THUNDERHEAD MOUNTAIN,>1m <=5m,,Cades Cove District,44304,,,Bridle Path ,Yes,Open,NATIONAL PARK SERVICE,NOT EVALUATED,GRSM,Congressional District 1,HIKER/PEDESTRIAN/PACK AND SADDLE,NOT EVALUATED,NATIONAL PARK SERVICE,,,YES,,NATIONAL PARK SERVICE,,,,,,2,Horse Trail Located by GPS (Open),0.0265221800302688
823,198c6bdc-76e6-4ce4-9980-b34f31bb5845,Boulevard Trail,,Boulevard Trail,Park Trail (only),Existing,Native,Standard Terra Trail,Class 3: Developed,,Public ,Unrestricted,GRSM,Yes,Great Smoky Mountains National Park,,Southeast Region,2017-07-26T16:21:53.461Z,2017-07-26T16:21:53.461Z,Differential GPS,,,2002-07-14T00:00:00.000Z,> 1 m and <= 5 m,,,,,GRSM_GIS,GRSM_GIS,,Trail,Sevier,,,Porters Creek,,,GCS,NAD83,17,,,Tennessee,MOUNT LE CONTE,>1m <=5m,,Cosby District,46843,,,Bridle Path ,,Open,NATIONAL PARK SERVICE,NOT EVALUATED,GRSM,Congressional District 1,HIKER/PEDESTRIAN,NOT EVALUATED,NATIONAL PARK SERVICE,,,YES,,NATIONAL PARK SERVICE,,,,,,2,Trail Located by GPS (Open),0.00804611160634977
824,ab81fb01-11e5-42fa-b9bd-4bf811dffcc3,Brushy Mountain Trail,,Brushy Mountain Trail,Park Trail (only),Existing,Native,Standard Terra Trail,Class 3: Developed,,Public ,Unrestricted,GRSM,Yes,Great Smoky Mountains National Park,,Southeast Region,2017-07-26T16:21:53.461Z,2017-07-26T16:21:53.461Z,Differential GPS,,,2002-07-15T00:00:00.000Z,> 1 m and <= 5 m,,,,,GRSM_GIS,GRSM_GIS,,Trail,Sevier,,,Porters Creek,,,GCS,NAD83,17,,,Tennessee,MOUNT LE CONTE,>1m <=5m,,Cosby District,46678,,,Bridle Path ,,Open,NATIONAL PARK SERVICE,NOT EVALUATED,GRSM,Congressional District 1,HIKER/PEDESTRIAN/PACK AND SADDLE,NOT EVALUATED,NATIONAL PARK SERVICE,,,YES,,NATIONAL PARK SERVICE,,,,,,2,Horse Trail Located by GPS (Open),0.000203606159374593
825,53d9492c-cdca-4f49-9c25-bb58220a92ad,Brushy Mountain Trail,,Brushy Mountain Trail,Park Trail (only),Existing,Native,Standard Terra Trail,Class 3: Developed,,Public ,Unrestricted,GRSM,Yes,Great Smoky Mountains National Park,,Southeast Region,2017-07-26T16:21:53.461Z,2017-07-26T16:21:53.461Z,Differential GPS,,,2002-07-15T00:00:00.000Z,> 1 m and <= 5 m,,,,,GRSM_GIS,GRSM_GIS,,Trail,Sevier,,,Porters Creek,,,GCS,NAD83,17,,,Tennessee,MOUNT LE CONTE,>1m <=5m,,Cosby District,46678,,,Bridle Path ,,Open,NATIONAL PARK SERVICE,NOT EVALUATED,GRSM,Congressional District 1,HIKER/PEDESTRIAN/PACK AND SADDLE,NOT EVALUATED,NATIONAL PARK SERVICE,,,YES,,NATIONAL PARK SERVICE,,,,,,2,Horse Trail Located by GPS (Open),0.0725828219001717
826,ef911d3c-658a-4dfe-ba9b-bff79d0be2ac,Brushy Mountain Trail,,Brushy Mountain Trail,Park Trail (only),Existing,Native,Standard Terra Trail,Class 3: Developed,,Public ,Unrestricted,GRSM,Yes,Great Smoky Mountains National Park,,Southeast Region,2017-07-26T16:21:53.461Z,2017-07-26T16:21:53.461Z,Differential GPS,,,2002-07-15T00:00:00.000Z,> 1 m and <= 5 m,,,,,GRSM_GIS,GRSM_GIS,,Trail,Sevier,,,Porters Creek,,,GCS,NAD83,17,,,Tennessee,MOUNT LE CONTE,>1m <=5m,,Cosby District,46678,,,Walkway/Pedestrian Trail ,,Open,NATIONAL PARK SERVICE,NOT EVALUATED,GRSM,Congressional District 1,HIKER/PEDESTRIAN,NOT EVALUATED,NATIONAL PARK SERVICE,,,YES,,NATIONAL PARK SERVICE,,,,,,1,Trail Located by GPS (Open),0.0057091609073637
827,aca59ea2-8daf-4039-9610-bb7c0e9f28ee,Brushy Mountain Trail,,Brushy Mountain Trail,Park Trail (only),Existing,Native,Standard Terra Trail,Class 3: Developed,,Public ,Unrestricted,GRSM,Yes,Great Smoky Mountains National Park,,Southeast Region,2017-07-26T16:21:53.461Z,2017-07-26T16:21:53.461Z,Differential GPS,,,2006-02-02T00:00:00.000Z,> 1 m and <= 5 m,,,,,GRSM_GIS,GRSM_GIS,,Trail,Sevier,,,Porters Creek,,,GCS,NAD83,17,,,Tennessee,MOUNT LE CONTE,>1m <=5m,,Cosby District,46678,,,Walkway/Pedestrian Trail ,,Open,NATIONAL PARK SERVICE,NOT EVALUATED,GRSM,Congressional District 1,HIKER/PEDESTRIAN,NOT EVALUATED,NATIONAL PARK SERVICE,,,YES,,NATIONAL PARK SERVICE,,,,,,1,Trail Located by GPS (Open),0.000171218836570753
828,aa0cb6d3-2491-430e-85b4-e8579a636529,Cades Cove Horse Trail,,Cades Cove Horse Trail,Park Trail (only),Existing,Native,Standard Terra Trail,Class 3: Developed,,Public ,Unrestricted,GRSM,Yes,Great Smoky Mountains National Park,,Southeast Region,2017-07-26T16:21:53.461Z,2017-07-26T16:21:53.461Z,Differential GPS,,,2002-07-16T00:00:00.000Z,> 1 m and <= 5 m,,,,,GRSM_GIS,GRSM_GIS,,Trail,Blount,,,Abrams Creek Upper,,,GCS,NAD83,17,,,Tennessee,CADES COVE,>1m <=5m,,Cades Cove District,44271,,,Bridle Path ,Yes,Open,NATIONAL PARK SERVICE,NOT EVALUATED,GRSM,Congressional District 1,HIKER/PEDESTRIAN/PACK AND SADDLE,NOT EVALUATED,NATIONAL PARK SERVICE,,,YES,,NATIONAL PARK SERVICE,,,,,,2,Horse Trail Located by GPS (Open),0.00512528863247195
