National Park Name,City,Country,Latitude,Longitude,Date,Wind Speed,Cloudiness,Humidity,Max Temp
Redwood,Arcata,US,40.87,-124.08,2020-03-23 15:26:59,11.41,90,71,53.01
Rocky Mountain,Boulder,US,40.08,-105.35,2020-03-23 15:23:20,3.36,40,24,57.2
Saguaro,Catalina Foothills,US,32.3,-110.92,2020-03-23 15:26:59,13.87,1,18,72.0
Sequoia,Lindsay,US,36.2,-119.09,2020-03-23 15:26:59,6.93,90,59,64.99
Biscayne,Key Biscayne,US,25.69,-80.16,2020-03-23 15:26:59,12.75,75,54,84.99
Shenandoah,Culpeper,US,38.5,-77.97,2020-03-23 15:22:43,3.56,90,81,46.99
Theodore Roosevelt,Dickinson,US,29.46,-95.05,2020-03-23 15:27:00,6.93,75,69,84.2
Virgin Islands,Road Town,VG,18.42,-64.62,2020-03-23 15:22:25,11.41,20,69,80.6
Voyageurs,Fort Frances,CA,48.6,-93.4,2020-03-23 15:27:00,10.29,1,55,39.2
Wind Cave,Rapid City,US,44.08,-103.23,2020-03-23 15:27:00,19.46,40,30,59.0
Wrangell–St. Elias,Haines Junction,CA,60.75,-137.51,2020-03-23 15:27:00,4.23,34,93,4.75
Yellowstone,Livingston,GB,55.9,-3.52,2020-03-23 15:27:00,14.99,100,49,50.0
Yosemite,Clovis,US,36.83,-119.7,2020-03-23 15:26:41,4.7,75,67,63.0
Zion,Hurricane,US,37.18,-113.29,2020-03-23 15:27:00,5.82,90,93,48.2
Black Canyon of the Gunnison,Montrose,US,38.42,-108.27,2020-03-23 15:27:00,16.11,75,30,57.2
Bryce Canyon,Cedar City,US,37.68,-113.06,2020-03-23 15:25:52,13.87,90,86,39.2
Canyonlands,Redlands,US,34.06,-117.18,2020-03-23 15:23:53,6.85,75,62,69.8
Capitol Reef,Price,US,39.6,-110.81,2020-03-23 15:24:23,6.93,90,52,44.6
