NationalParkName,OBJECTID,TRLNAME,TRLALTNAME,TRLLABEL,TRLFEATTYPE,TRLSTATUS,TRLSURFACE,TRLTYPE,TRLCLASS,TRLUSE,UNITCODE,EDITDATE,MAPMETHOD,MAPSOURCE,SOURCEDATE,XYERROR,INPLACES,GlobalID
Bryce Canyon National Park,107,Tropic Trail ,,Tropic Trail,Park Trail,Existing,Native,Standard Terra Trail,Unknown,Hiker/Pedestrian,BRCA,2015-12-07T00:00:00.000Z,Unknown,Unknown,2014-07-31T00:00:00.000Z,Unknown,Yes,2d03b03b-b45e-4c57-95e3-c5c19ecc8edc
Bryce Canyon National Park,108,Fairyland Loop Spur Trail,,Fairyland Loop Spur Trail,Park Trail,Existing,Native,Standard Terra Trail,Unknown,Hiker/Pedestrian,BRCA,2015-12-07T00:00:00.000Z,Unknown,Unknown,2014-07-31T00:00:00.000Z,Unknown,Yes,aa8fcbbc-dfac-4d1b-9220-51591b3a875b
Bryce Canyon National Park,109,Navajo Loop to Peek A Boo Connector,,Navaho Loop to Peek A Boo Connector,Park Trail,Existing,Native,Standard Terra Trail,Unknown,Hiker/Pedestrian,BRCA,2015-12-07T00:00:00.000Z,Unknown,Unknown,2014-07-31T00:00:00.000Z,Unknown,Yes,0e1a7432-d9fd-4b84-ab7d-bf2300d6228d
Bryce Canyon National Park,110,Queens Garden Trail,,Queens Garden Trail,Park Trail,Existing,Native,Standard Terra Trail,Unknown,Hiker/Pedestrian,BRCA,2015-12-07T00:00:00.000Z,Unknown,Unknown,,Unknown,Yes,d4de8df7-a5f8-48d6-a07b-419c52e6f9f4
Bryce Canyon National Park,111,Bull Rush Hollow Trail,,Bull Rush Hollow Trail,Park Trail,Existing,Native,Standard Terra Trail,Unknown,Hiker/Pedestrian,BRCA,2015-12-07T00:00:00.000Z,Unknown,Unknown,2014-07-31T00:00:00.000Z,Unknown,Yes,890ebf03-1e3a-4576-8624-0e1ada4ee4a5
Bryce Canyon National Park,112,Riggs Spring Loop Trail,,Riggs Spring Loop Trail,Park Trail,Existing,Native,Standard Terra Trail,Unknown,Hiker/Pedestrian,BRCA,2015-12-07T00:00:00.000Z,Unknown,Unknown,,Unknown,Yes,ce294f80-5f4b-451c-898c-047b6d246a9e
Bryce Canyon National Park,113,Agua Canyon Connect Trail,,Agua Canyon Connect Trail,Park Trail,Existing,Native,Standard Terra Trail,Unknown,Hiker/Pedestrian,BRCA,2015-12-07T00:00:00.000Z,Unknown,Unknown,,Unknown,Yes,79e9f23a-6d91-4dd5-a438-3f84727b17ed
Bryce Canyon National Park,114,Rim Trail,,Rim Trail,Park Trail,Existing,Native,Standard Terra Trail,Unknown,Hiker/Pedestrian,BRCA,2015-12-07T00:00:00.000Z,Unknown,Unknown,,Unknown,Yes,6ee57cd2-ac8a-4eac-88a5-74e1dcc15ac2
Bryce Canyon National Park,115,Paria View Trail,,Paria View Trail,Park Trail,Existing,Unknown,Standard Terra Trail,Unknown,Hiker/Pedestrian,BRCA,2015-12-07T00:00:00.000Z,Unknown,Unknown,,Unknown,Yes,8cfbaf93-ba9f-4ef5-9874-6e0da691e68c
Bryce Canyon National Park,116,Fairyland Loop Trail,,Fairyland Loop Trail,Park Trail,Existing,Native,Standard Terra Trail,Unknown,Hiker/Pedestrian,BRCA,2015-12-07T00:00:00.000Z,Autonomous GPS,Unknown,,Unknown,Yes,b79bcd9d-53ec-4838-a4af-f7e258803987
Bryce Canyon National Park,117,Horse Trail,,Horse Trail,Park Trail,Existing,Native,Standard Terra Trail,Unknown,Pack/Saddle,BRCA,2015-12-07T00:00:00.000Z,Autonomous GPS,Unknown,,Unknown,Yes,c9186635-4466-4c47-84cd-e3dcd3b61c5c
Bryce Canyon National Park,118,Mossy Cave Trail,,Mossy Cave Trail,Park Trail,Existing,Native,Standard Terra Trail,Unknown,Hiker/Pedestrian,BRCA,2015-12-07T00:00:00.000Z,Unknown,Unknown,,Unknown,Yes,5768a2af-d776-4934-8635-9badb5570fb2
Bryce Canyon National Park,119,Navajo Loop Trail,Wall Street Trail,Navajo Loop Trail,Park Trail,Existing,Native,Standard Terra Trail,Unknown,Hiker/Pedestrian,BRCA,2015-12-07T00:00:00.000Z,Unknown,Unknown,2014-07-31T00:00:00.000Z,Unknown,Yes,bcd415d8-81d7-48b2-9c26-9de9aa161824
Bryce Canyon National Park,120,Whiteman Ranch Connecting Trail,,Whiteman Ranch Connecting Trail,Park Trail,Existing,Native,Standard Terra Trail,Unknown,Hiker/Pedestrian,BRCA,2015-12-07T00:00:00.000Z,Unknown,Unknown,,Unknown,Yes,68b2c750-8782-42b8-bde6-dfa3e7350756
Bryce Canyon National Park,121,Under the Rim Trail,,Under the Rim Trail,Park Trail,Existing,Native,Standard Terra Trail,Unknown,Hiker/Pedestrian,BRCA,2015-12-07T00:00:00.000Z,Unknown,Unknown,,Unknown,Yes,21b7d996-dc6a-42a6-a0d9-b3973a8e8f74
Bryce Canyon National Park,122,Queens GardenTrail Segment,,Queens Garden Spare Trail ,Park Trail,Existing,Native,Standard Terra Trail,Unknown,Hiker/Pedestrian,BRCA,2015-12-07T00:00:00.000Z,Unknown,Unknown,,Unknown,Yes,4420fa84-af54-4643-8322-0b7bb01e7da8
Bryce Canyon National Park,123,Bryce Canyon Overlook,,Bryce Canyon Overlook,Park Trail,Existing,Asphalt,Standard Terra Trail,Class 5: Fully Developed,Hiker/Pedestrian,BRCA,2015-12-07T00:00:00.000Z,Unknown,Unknown,,Unknown,Yes,54963409-c041-467d-b501-9df9f191cd7b
Bryce Canyon National Park,124,Multi-Use Path,Bike Path,Multi-Use Path,Park Trail,Existing,Asphalt,Standard Terra Trail,Class 5: Fully Developed,Bicycle|Hiker/Pedestrian,BRCA,2015-12-07T00:00:00.000Z,Other,AutoCAD from contractor,,Unknown,Yes,9322ea21-3d1b-4c27-bde7-2a070ab7203b
Bryce Canyon National Park,125,Multi-Use Path,Bike Path,Multi-Use Path,Park Trail,Existing,Asphalt,Standard Terra Trail,Class 5: Fully Developed,Bicycle|Hiker/Pedestrian,BRCA,2015-12-07T00:00:00.000Z,Other,AutoCAD from contractor,,Unknown,Yes,cda7bb91-99d1-4abc-91be-526bf7a90e19
Bryce Canyon National Park,126,Multi-Use Path,Bike Path,Multi-Use Path,Park Trail,Existing,Asphalt,Standard Terra Trail,Class 5: Fully Developed,Bicycle|Hiker/Pedestrian,BRCA,2015-12-07T00:00:00.000Z,Other,AutoCAD from contractor,,Unknown,Yes,e7058c08-3ae9-44ca-bbf8-45f08804f294
Bryce Canyon National Park,127,Rim Trail,,Rim Trail,Park Trail,Existing,Asphalt,Standard Terra Trail,Unknown,Hiker/Pedestrian,BRCA,2015-12-07T00:00:00.000Z,Unknown,Unknown,,Unknown,Yes,9d9eb265-2ce4-4f30-9165-d1a296be1850
Bryce Canyon National Park,128,Horse Trail,,Horse Trail,Park Trail,Existing,Native,Standard Terra Trail,Unknown,Pack/Saddle,BRCA,2015-12-07T00:00:00.000Z,Autonomous GPS,Unknown,,Unknown,Yes,ad898b23-78fe-427d-8dea-0af31c58806e
Bryce Canyon National Park,129,Tropic Trail ,,Tropic Trail,Park Trail,Existing,Native,Standard Terra Trail,Unknown,Hiker/Pedestrian|Pack/Saddle,BRCA,2015-12-07T00:00:00.000Z,Unknown,Unknown,2014-07-31T00:00:00.000Z,Unknown,Yes,7b48ab96-fc3a-481b-ae1b-d40a6a0b543c
Bryce Canyon National Park,130,Peek-A-Boo Loop Trail,,Peek-A-Boo Loop Trail,Park Trail,Existing,Native,Standard Terra Trail,Unknown,Hiker/Pedestrian|Pack/Saddle,BRCA,2015-12-07T00:00:00.000Z,Unknown,Unknown,,Unknown,Yes,74e886a6-a519-44d2-b03e-0c66888ab00e
Bryce Canyon National Park,131,Rim Trail,,Rim Trail,Park Trail,Existing,Native,Standard Terra Trail,Unknown,Hiker/Pedestrian,BRCA,2015-12-07T00:00:00.000Z,Unknown,Unknown,,Unknown,Yes,e3a2a471-0716-4931-bc9a-a8c1b64426a8
Bryce Canyon National Park,132,Rim Trail,,Rim Trail,Park Trail,Existing,Asphalt,Standard Terra Trail,Class 5: Fully Developed,Hiker/Pedestrian,BRCA,2015-12-07T00:00:00.000Z,Unknown,Unknown,,Unknown,Yes,36a96cf8-1065-4767-860c-b1381d980d32
Bryce Canyon National Park,133,Yovimpa Point Trail,,Yovimpa Point Trail,Park Trail,Existing,Asphalt,Standard Terra Trail,Class 5: Fully Developed,Hiker/Pedestrian,BRCA,2015-12-07T00:00:00.000Z,Unknown,Unknown,2014-07-31T00:00:00.000Z,Unknown,Yes,a5c223a9-fc38-4e63-9266-0df2945fed95
Bryce Canyon National Park,134,Bristlecone Point Loop Trail,,Bristlecone Point Loop Trail,Park Trail,Existing,Native,Standard Terra Trail,Unknown,Hiker/Pedestrian,BRCA,2015-12-07T00:00:00.000Z,Unknown,Unknown,,Unknown,Yes,2664b2ca-7f1f-4452-968f-7539024b4dde
Bryce Canyon National Park,135,Bristlecone Point Loop Trail,,Bristlecone Point Loop Trail,Park Trail,Existing,Native,Standard Terra Trail,Unknown,Hiker/Pedestrian,BRCA,2015-12-07T00:00:00.000Z,Unknown,Unknown,,Unknown,Yes,a9427b16-ece2-4a00-a794-ecf28f0cc97b
Bryce Canyon National Park,136,Farview Point Trail,,Farview Point Trail,Park Trail,Existing,Asphalt,Standard Terra Trail,Class 5: Fully Developed,Hiker/Pedestrian,BRCA,2015-12-07T00:00:00.000Z,Unknown,Unknown,,Unknown,Yes,6cec7a88-25da-46a3-8cd2-e7aaf7715e71
Bryce Canyon National Park,137,Sunrise Point Overlook Access,,Sunrise Point Overlook Access,Park Trail,Existing,Asphalt,Standard Terra Trail,Class 5: Fully Developed,Hiker/Pedestrian,BRCA,2015-12-07T00:00:00.000Z,Unknown,Unknown,,Unknown,Yes,b4ce1628-9837-446a-87ba-e9b4d0caf94f
Bryce Canyon National Park,138,Sunset Point Overlook,,Sunset Point Overlook,Park Trail,Existing,Asphalt,Standard Terra Trail,Class 5: Fully Developed,Hiker/Pedestrian,BRCA,2015-12-07T00:00:00.000Z,Unknown,Unknown,,Unknown,Yes,1b0c071b-232a-4d00-8d59-dd160b25d005
Bryce Canyon National Park,139,Sunset Point Overlook,,Sunset Point Overlook,Park Trail,Existing,Asphalt,Standard Terra Trail,Class 5: Fully Developed,Hiker/Pedestrian,BRCA,2015-12-07T00:00:00.000Z,Unknown,Unknown,,Unknown,Yes,3d82b2be-7b99-46b9-94b2-3866e753492e
Bryce Canyon National Park,140,Sunset Point Overlook,,Sunset Point Overlook,Park Trail,Existing,Asphalt,Standard Terra Trail,Class 5: Fully Developed,Hiker/Pedestrian,BRCA,2015-12-07T00:00:00.000Z,Unknown,Unknown,,Unknown,Yes,96537572-c57e-4b5a-98d8-b761b2c82d4c
Bryce Canyon National Park,141,Inspiration Point,,Inspiration Point,Park Trail,Existing,Asphalt,Standard Terra Trail,Class 5: Fully Developed,Hiker/Pedestrian,BRCA,2015-12-07T00:00:00.000Z,Unknown,Unknown,,Unknown,Yes,11845deb-70b7-42a5-9a4c-49b6f1d9292c
Bryce Canyon National Park,142,Bristlecone Point Loop Trail,,Bristlecone Point Loop Trail,Park Trail,Existing,Asphalt,Standard Terra Trail,Class 5: Fully Developed,Hiker/Pedestrian,BRCA,2015-12-07T00:00:00.000Z,Unknown,Unknown,,Unknown,Yes,9e245b07-daae-42d8-aca0-9a4b287f0df3
Bryce Canyon National Park,143,Sunset Point Overlook,,Sunset Point Overlook,Park Trail,Existing,Asphalt,Standard Terra Trail,Class 5: Fully Developed,Hiker/Pedestrian,BRCA,2015-12-07T00:00:00.000Z,Unknown,Unknown,,Unknown,Yes,9272c344-3d55-4f43-a4c3-9a0511a2f09e
Canyonlands National Park,12,Maze Overlook Road,,,Park Trail,Existing,,Standard Terra Trail,Unknown,Hiker/Pedestrian | Bicycle,CANY,2015-09-08T00:00:00.000Z,Unknown,,2014-07-31T00:00:00.000Z,,Yes,cf873739-609a-490b-b287-9aced713c4ac
Canyonlands National Park,13,Doll House Road,,,Park Trail,Existing,,Standard Terra Trail,Unknown,Hiker/Pedestrian,CANY,2015-09-08T00:00:00.000Z,Unknown,<Null>,2014-07-31T00:00:00.000Z,,Yes,96a16014-0c27-4ad4-aa12-c8627a3aa47b
Canyonlands National Park,14,Doll House Cutoff Road,,,Park Trail,Existing,,Standard Terra Trail,Unknown,Hiker/Pedestrian,CANY,2015-09-08T00:00:00.000Z,Unknown,,2014-07-31T00:00:00.000Z,,Yes,00e50509-e656-4782-a2b9-9e1929da7981
Canyonlands National Park,15,Doll House Campground Road,,,Park Trail,Existing,,Standard Terra Trail,Unknown,Hiker/Pedestrian,CANY,2015-09-08T00:00:00.000Z,Unknown,,2014-07-31T00:00:00.000Z,,Yes,eef8a982-9e3d-442a-82bd-1e9022b8c161
Canyonlands National Park,16,Doll House South Road,,,Park Trail,Existing,,Standard Terra Trail,Unknown,Hiker/Pedestrian,CANY,2015-09-08T00:00:00.000Z,Unknown,,2014-07-31T00:00:00.000Z,,Yes,83cc16ce-83b3-410e-aa98-b0c31bd1c910
Canyonlands National Park,17,Elephant Hill Road,Devils Pocket Road,,Park Trail,Existing,,Standard Terra Trail,Unknown,Hiker/Pedestrian,CANY,2015-09-08T00:00:00.000Z,Differential GPS,,,,Yes,cf793f67-fd68-49cf-b842-17dd00d15e6c
Canyonlands National Park,18,Devils Lane Road,,,Park Trail,Existing,,Standard Terra Trail,Unknown,Hiker/Pedestrian,CANY,2015-09-08T00:00:00.000Z,UNKN,,,,Yes,e947446e-7240-43f1-9c71-61927a461cac
Canyonlands National Park,19,Colorado River Overlook Road,,,Park Trail,Existing,,Standard Terra Trail,Unknown,Hiker/Pedestrian,CANY,2015-09-08T00:00:00.000Z,Differential GPS,,,,Yes,60dac388-0ec9-48ee-9dc3-bc81467e217a
Canyonlands National Park,20,Cave Springs Road,,,Park Trail,Existing,,Standard Terra Trail,Unknown,Hiker/Pedestrian,CANY,2015-09-08T00:00:00.000Z,Unknown,,2014-07-31T00:00:00.000Z,,Yes,f2e5cd54-e173-4a11-8e6d-e76d2bb9f8b6
Canyonlands National Park,21,Confluence Overlook Road,,,Park Trail,Existing,,Standard Terra Trail,Unknown,Hiker/Pedestrian,CANY,2015-09-08T00:00:00.000Z,Differential GPS,,,,Yes,619e3d24-ae98-4c32-b345-f4e342483edb
Canyonlands National Park,22,Cyclone Canyon Trail,<Null>,,Park Trail,Existing,,Standard Terra Trail,Unknown,Hiker/Pedestrian,CANY,2015-09-08T00:00:00.000Z,Differential GPS,,,,Yes,92159e1c-e66e-4d50-8f07-45a16763745b
Canyonlands National Park,23,Horse Canyon Road,,,Park Trail,Existing,,Standard Terra Trail,Unknown,Hiker/Pedestrian | Bicycle,CANY,2015-09-08T00:00:00.000Z,Differential GPS,,,,Yes,5fa3a088-93f1-47ce-94c2-8effe6c43b5c
Canyonlands National Park,24,Elephant Hill Road,,,Park Trail,Existing,,Standard Terra Trail,Unknown,Hiker/Pedestrian,CANY,2015-09-08T00:00:00.000Z,Differential GPS,,,,Yes,b2fa7e00-dbed-4f2c-b260-92517a74c763
Canyonlands National Park,25,Lathrop Canyon Road,,,Park Trail,Existing,,Standard Terra Trail,Unknown,Hiker/Pedestrian,CANY,2015-09-08T00:00:00.000Z,Differential GPS,,,,Yes,08c32edb-a3b2-4091-a7cb-5a872eaaadb3
Canyonlands National Park,26,Murphy Point Trail,,,Park Trail,Existing,,Standard Terra Trail,Unknown,Hiker/Pedestrian,CANY,2015-09-08T00:00:00.000Z,Unknown,,2014-07-31T00:00:00.000Z,,Yes,a281639f-6f25-4b97-9380-5249afee652f
Canyonlands National Park,27,White Rim Road,,,Park Trail,Existing,,Standard Terra Trail,Unknown,Hiker/Pedestrian,CANY,2015-09-08T00:00:00.000Z,Differential GPS,<Null>,2014-07-31T00:00:00.000Z,,Yes,409c578a-a5b5-4262-ad94-336306e6d499
Canyonlands National Park,28,Lockhart Road,,,Park Trail,Existing,,Standard Terra Trail,Unknown,Hiker/Pedestrian,CANY,2015-09-08T00:00:00.000Z,Unknown,,2014-07-31T00:00:00.000Z,,Yes,bc4dcabb-8a81-4259-abee-7f0aad3901c7
Canyonlands National Park,29,Bobbys Hole Road,,,Park Trail,Existing,,Standard Terra Trail,Unknown,Hiker/Pedestrian,CANY,2015-09-08T00:00:00.000Z,Differential GPS,,,,Yes,8e820916-dd2f-4684-9377-ddf28759df2a
Canyonlands National Park,30,West Fork Road,,,Park Trail,Existing,,Standard Terra Trail,Unknown,Hiker/Pedestrian,CANY,2015-09-08T00:00:00.000Z,Differential GPS,,,,Yes,e0094a3a-b3d8-4595-bfa5-5ff1ec56f159
Canyonlands National Park,31,Angel Arch Trail,,,Park Trail,Existing,,Standard Terra Trail,Unknown,Hiker/Pedestrian,CANY,2015-09-08T00:00:00.000Z,Differential GPS,,2009-08-04T00:00:00.000Z,,Yes,1ea9f099-4fae-443f-b980-3c29ae041ebf
Canyonlands National Park,32,Trail,,,Park Trail,Existing,,Standard Terra Trail,Unknown,Hiker/Pedestrian,CANY,2015-09-08T00:00:00.000Z,Unknown,,2014-07-31T00:00:00.000Z,,Yes,fb2e259c-4b25-4d51-be18-4284e259c7cf
Canyonlands National Park,33,Davis Canyon Road,,,Park Trail,Existing,,Standard Terra Trail,Unknown,Hiker/Pedestrian,CANY,2015-09-08T00:00:00.000Z,Unknown,,2014-07-31T00:00:00.000Z,,Yes,8b743ed6-5c8b-46ae-b753-65a317e39847
Canyonlands National Park,34,Salt Creek Canyon Trail,,,Park Trail,Existing,,Standard Terra Trail,Unknown,Hiker/Pedestrian | Bicycle,CANY,2015-09-08T00:00:00.000Z,Unknown,,2014-07-31T00:00:00.000Z,,Yes,ed717665-9e80-40c0-a36a-e54577ba8d00
Canyonlands National Park,35,Tower Ruins Road,,,Park Trail,Existing,,Standard Terra Trail,Unknown,Hiker/Pedestrian,CANY,2015-09-08T00:00:00.000Z,Differential GPS,,,,Yes,6b72347a-1675-40a7-b6dd-2c1024cd4f3a
Canyonlands National Park,36,Potash Road,Shafer Canyon Road,,Park Trail,Existing,,Standard Terra Trail,Unknown,Hiker/Pedestrian,CANY,2015-09-08T00:00:00.000Z,Unknown,,2014-07-31T00:00:00.000Z,,Yes,d536662c-c3e0-49b5-a003-cc9b1488153d
Canyonlands National Park,37,Musselman Arch Trail,,,Park Trail,Existing,,Standard Terra Trail,Unknown,Hiker/Pedestrian,CANY,2015-09-08T00:00:00.000Z,Unknown,,2014-07-31T00:00:00.000Z,,Yes,5919872f-e22e-4cd7-a80d-6fb8306b403b
Canyonlands National Park,38,Cave Spring Trail,,,Park Trail,Existing,,Standard Terra Trail,Unknown,Hiker/Pedestrian,CANY,2015-09-08T00:00:00.000Z,Unknown,,2014-07-31T00:00:00.000Z,,Yes,f0db6e7a-13ff-4161-bc02-1406dc934551
Canyonlands National Park,39,Lavender Creek Road,,,Park Trail,Existing,,Standard Terra Trail,Unknown,Hiker/Pedestrian,CANY,2015-09-08T00:00:00.000Z,Differential GPS,,,,Yes,03ae81b6-b17a-416f-8831-6a4e611c42a9
Canyonlands National Park,40,Neck Spring Trail,,,Park Trail,Existing,,Standard Terra Trail,Unknown,Hiker/Pedestrian,CANY,2015-09-08T00:00:00.000Z,Differential GPS,,2001-08-14T00:00:00.000Z,,Yes,0b35ec3a-1e9a-475f-9baa-8cb0969727d8
Canyonlands National Park,41,Grandview Point Trail,,,Park Trail,Existing,,Standard Terra Trail,Unknown,Hiker/Pedestrian,CANY,2015-09-08T00:00:00.000Z,Differential GPS,,2004-06-29T00:00:00.000Z,,Yes,fc357e18-8ba9-4396-9d77-c55344c27b65
