National Park Name,National Park Latitude Coordinate,National Park Longitude Coordinate,National Park Latitude & Longitudinal Coordinate Combination,Description,Visitors,ID,States,Area_sq_km,Area_acres,Date Established_readable,Date Established_unix,World Heritage Site,NPS Link,Image URL,Image Attribution,Image Attribution URL
Haleakala,20.72,-156.17,POINT(-156.17 20.72),"The Haleakala volcano on Maui features a very large crater with numerous cinder cones, Hosmer's Grove of alien trees, the Kipahulu section's scenic pools of freshwater fish, and the native Hawaiian goose. It is home to the greatest number of endangered species within a U.S. National Park.",1263558,park_haleakala,"[{""id"":""state_hawaii"",""title"":""Hawaii""}]",134.6,33264.62,1916-08-01,-1685732400,False,https://www.nps.gov/hale/index.htm,haleakala.jpg,Wikipedia/@KennyLouie,https://commons.wikimedia.org/wiki/File:Taking_it_all_in_(6881870120).jpg
Hawaii Volcanoes,19.38,-155.2,POINT(-155.2 19.38),"This park on the Big Island protects the Kīlauea and Mauna Loa volcanoes, two of the world's most active geological features. Diverse ecosystems range from tropical forests at sea level to barren lava beds at more than 13,000 feet (4,000 m).",1887580,park_hawaii-volcanoes,"[{""id"":""state_hawaii"",""title"":""Hawaii""}]",1308.9,323431.38,1916-08-01,-1685732400,True,https://www.nps.gov/havo/index.htm,hawaii-volcanoes.jpg,NPS,https://www.nps.gov
Badlands,43.75,-102.5,POINT(-102.5 43.75),"The Badlands are a collection of buttes, pinnacles, spires, and mixed-grass prairies. The White River Badlands contain the largest assemblage of known late Eocene and Oligocene mammal fossils. The wildlife includes bison, bighorn sheep, black-footed ferrets, and prairie dogs.",996263,park_badlands,"[{""id"":""state_south-dakota"",""title"":""South Dakota""}]",982.4,242755.94,1978-11-10,279525600,False,https://www.nps.gov/badl/index.htm,badlands.jpg,PixelBay/@kasabubu,https://pixabay.com/en/users/kasabubu-1559919/
Hot Springs,34.51,-93.05,POINT(-93.05 34.51),"Hot Springs was established by act of Congress as a federal reserve on April 20, 1832. As such it is the oldest park managed by the National Park Service. Congress changed the reserve's designation to National Park on March 4, 1921 after the National Park Service was established in 1916. Hot Springs is the smallest and only National Park in an urban area and is based around natural hot springs that flow out of the low lying Ouachita Mountains. The springs provide opportunities for relaxation in an historic setting; Bathhouse Row preserves numerous examples of 19th-century architecture.",1544300,park_hot-springs,"[{""id"":""state_arkansas"",""title"":""Arkansas""}]",22.5,5549.1,1921-03-04,-1540922400,False,https://www.nps.gov/hosp/index.htm,hot-springs.jpg,Wikipedia/@YinanChen,https://commons.wikimedia.org/wiki/File%3AGfp-arkansas-hot-springs-steam-from-spring.jpg
Isle Royale,48.1,-88.55,POINT(-88.55 48.1),"The largest island in Lake Superior is a place of isolation and wilderness. Along with its many shipwrecks, waterways, and hiking trails, the park also includes over 400 smaller islands within 4.5 miles (7.2 km) of its shores. There are only 20 mammal species on the entire island, though the relationship between its wolf and moose populations is especially unique.",24966,park_isle-royale,"[{""id"":""state_michigan"",""title"":""Michigan""}]",2314.0,571790.11,1940-04-03,-938718000,False,https://www.nps.gov/isro/index.htm,isle-royale.jpg,Flickr/@rtdphotography,https://www.flickr.com/photos/rtdphotography/3047464978
Joshua Tree,33.79,-115.9,POINT(-115.9 33.79),"Covering large areas of the Colorado and Mojave Deserts and the Little San Bernardino Mountains, this desert landscape is populated by vast stands of Joshua trees. Large changes in elevation reveal various contrasting environments including bleached sand dunes, dry lakes, rugged mountains, and maze-like clusters of monzogranite monoliths.",2505286,park_joshua-tree,"[{""id"":""state_california"",""title"":""California""}]",3199.6,790635.74,1994-10-31,783583200,False,https://www.nps.gov/jotr/index.htm,joshua-tree.jpg,PixelBay/@nightowl,https://pixabay.com/en/users/nightowl-29/
Katmai,58.5,-155.0,POINT(-155 58.5),"This park on the Alaska Peninsula protects the Valley of Ten Thousand Smokes, an ash flow formed by the 1912 eruption of Novarupta, as well as Mount Katmai. Over 2,000 grizzly bears come here each year to catch spawning salmon. Other wildlife includes caribou, wolves, moose, and wolverines.",37818,park_katmai,"[{""id"":""state_alaska"",""title"":""Alaska""}]",14870.3,3674529.33,1980-12-02,344584800,False,https://www.nps.gov/katm/index.htm,katmai.jpg,PixelBay/@Skeeze,https://pixabay.com/en/users/skeeze-272447/
Kenai Fjords,59.92,-149.65,POINT(-149.65 59.92),"Near Seward on the Kenai Peninsula, this park protects the Harding Icefield and at least 38 glaciers and fjords stemming from it. The only area accessible to the public by road is Exit Glacier; the rest must be viewed or reached from boat tours.",346534,park_kenai-fjords,"[{""id"":""state_alaska"",""title"":""Alaska""}]",2711.3,669983.65,1980-12-02,344584800,False,https://www.nps.gov/kefj/index.htm,kenai-fjords.jpg,PixelBay/@Skeeze,https://pixabay.com/en/users/skeeze-272447/
Kings Canyon,36.8,-118.55,POINT(-118.55 36.8),"Home to several giant sequoia groves and the General Grant Tree, the world's second largest measured tree, this park also features part of the Kings River, sculptor of the dramatic granite canyon that is its namesake, and the San Joaquin River, as well as Boyden Cave.",607479,park_kings-canyon,"[{""id"":""state_california"",""title"":""California""}]",1869.2,461901.2,1940-03-04,-941306400,False,https://www.nps.gov/seki/index.htm,kings-canyon.jpg,PixelBay/@tdellav,https://pixabay.com/en/users/tdellav-889026/
Kobuk Valley,67.55,-159.28,POINT(-159.28 67.55),"Kobuk Valley protects 61 miles (98 km) of the Kobuk River and three regions of sand dunes. Created by glaciers, the Great Kobuk, Little Kobuk, and Hunt River Sand Dunes can reach 100 feet (30 m) high and 100 °F (38 °C), and they are the largest dunes in the Arctic. Twice a year, half a million caribou migrate through the dunes and across river bluffs that expose well-preserved ice age fossils.",15500,park_kobuk-valley,"[{""id"":""state_alaska"",""title"":""Alaska""}]",7084.9,1750716.16,1980-12-02,344584800,False,https://www.nps.gov/kova/index.htm,kobuk-valley.jpg,NPS,https://www.nps.gov
Lake Clark,60.97,-153.42,POINT(-153.42 60.97),"The region around Lake Clark features four active volcanoes, including Mount Redoubt, as well as an abundance of rivers, glaciers, and waterfalls. Temperate rainforests, a tundra plateau, and three mountain ranges complete the landscape.",21102,park_lake-clark,"[{""id"":""state_alaska"",""title"":""Alaska""}]",10602.0,2619816.49,1980-12-02,344584800,False,https://www.nps.gov/lacl/index.htm,lake-clark.jpg,PixelBay/@Skeeze,https://pixabay.com/en/users/skeeze-272447/
Lassen Volcanic,40.49,-121.51,POINT(-121.51 40.49),"Lassen Peak, the largest plug dome volcano in the world, is joined by all three other types of volcanoes in this park: shield, cinder dome, and composite. Though Lassen itself last erupted in 1915, most of the rest of the park is continuously active. Numerous hydrothermal features, including fumaroles, boiling pools, and bubbling mud pots, are heated by molten rock from beneath the peak.",536068,park_lassen-volcanic,"[{""id"":""state_california"",""title"":""California""}]",431.4,106589.02,1916-08-09,-1685041200,False,https://www.nps.gov/lavo/index.htm,lassen-volcanic.jpg,PixelBay/@SteenJepsen,https://pixabay.com/en/users/SteenJepsen-1490089/
Mammoth Cave,37.18,-86.1,POINT(-86.1 37.18),"With more than 400 miles (640 km) of passageways explored, Mammoth Cave is the world's longest known cave system. Subterranean wildlife includes eight bat species, Kentucky cave shrimp, Northern cavefish, and cave salamanders. Above ground, the park provides recreation on the Green River, 70 miles of hiking trails, and plenty of sinkholes and springs.",586514,park_mammoth-cave,"[{""id"":""state_kentucky"",""title"":""Kentucky""}]",213.8,52830.19,1941-07-01,-899492400,True,https://www.nps.gov/maca/index.htm,mammoth-cave.jpg,Wikipedia/@DanielSchwen,https://commons.wikimedia.org/wiki/File%3AMammoth_Cave_tour.jpg
Big Bend,29.25,-103.25,POINT(-103.25 29.25),"Named for the prominent bend in the Rio Grande along the U.S.–Mexico border, this park encompasses a large and remote part of the Chihuahuan Desert. Its main attraction is backcountry recreation in the arid Chisos Mountains and in canyons along the river. A wide variety of Cretaceous and Tertiary fossils as well as cultural artifacts of Native Americans also exist within its borders.",388290,park_big-bend,"[{""id"":""state_texas"",""title"":""Texas""}]",3242.2,801163.21,1944-06-12,-806439600,False,https://www.nps.gov/bibe/index.htm,big-bend.jpg,PixelBay/@Goodfreephotos_com,https://pixabay.com/en/users/Goodfreephotos_com-10388/
Mesa Verde,37.18,-108.49,POINT(-108.49 37.18),"This area constitutes over 4,000 archaeological sites of the Ancestral Puebloan people, who lived here and elsewhere in the Four Corners region for at least 700 years. Cliff dwellings built in the 12th and 13th centuries include Cliff Palace, which has 150 rooms and 23 kivas, and the Balcony House, with its many passages and tunnels.",583527,park_mesa-verde,"[{""id"":""state_colorado"",""title"":""Colorado""}]",212.4,52485.17,1906-06-29,-2004202800,True,https://www.nps.gov/meve/index.htm,mesa-verde.jpg,PixelBay/@kaylee,https://pixabay.com/en/users/kaylee-393151/
Mount Rainier,46.85,-121.75,POINT(-121.75 46.85),"Mount Rainier, an active stratovolcano, is the most prominent peak in the Cascades and is covered by 26 named glaciers including Carbon Glacier and Emmons Glacier, the largest in the contiguous United States. The mountain is popular for climbing, and more than half of the park is covered by subalpine and alpine forests and meadows seasonally in bloom with wildflowers. Paradise on the south slope is the snowiest place on Earth where snowfall is measured regularly. The Longmire visitor center is the start of the Wonderland Trail, which encircles the mountain.",1356913,park_mount-rainier,"[{""id"":""state_washington"",""title"":""Washington""}]",956.6,236381.64,1899-03-02,-2235319200,False,https://www.nps.gov/mora/index.htm,mount-rainier.jpg,PixelBay/@12019,https://pixabay.com/en/users/12019-12019/
North Cascades,48.7,-121.2,POINT(-121.2 48.7),"This complex encompasses two units of the National Park itself as well as the Ross Lake and Lake Chelan National Recreation Areas. The highly glaciated mountains are spectacular examples of Cascade geology. Popular hiking and climbing areas include Cascade Pass, Mount Shuksan, Mount Triumph, and Eldorado Peak.",28646,park_north-cascades,"[{""id"":""state_washington"",""title"":""Washington""}]",2042.8,504780.94,1968-10-02,-39380400,False,https://www.nps.gov/noca/index.htm,north-cascades.jpg,PixelBay/@carolynhasemail,https://pixabay.com/en/users/carolynhasemail-2321451/
Olympic,47.97,-123.5,POINT(-123.5 47.97),"Situated on the Olympic Peninsula, this park includes a wide range of ecosystems from Pacific shoreline to temperate rainforests to the alpine slopes of the Olympic Mountains, the tallest of which is Mount Olympus. The Hoh Rainforest and Quinault Rainforest are the wettest area in the contiguous United States, with the Hoh receiving an average of almost 12 ft (3.7 m) of rain every year.",3390221,park_olympic,"[{""id"":""state_washington"",""title"":""Washington""}]",3733.8,922650.1,1938-06-29,-994359600,True,https://www.nps.gov/olym/index.htm,olympic.jpg,PixelBay/@RogerMosley,https://pixabay.com/en/users/RogerMosley-4311868/
Petrified Forest,35.07,-109.78,POINT(-109.78 35.07),This portion of the Chinle Formation has a large concentration of 225-million-year-old petrified wood. The surrounding Painted Desert features eroded cliffs of red-hued volcanic rock called bentonite. Dinosaur fossils and over 350 Native American sites are also protected in this park.,643274,park_petrified-forest,"[{""id"":""state_arizona"",""title"":""Arizona""}]",896.0,221415.77,1962-12-09,-222890400,False,https://www.nps.gov/pefo/index.htm,petrified-forest.jpg,PixelBay/@jillmackie,https://pixabay.com/en/users/jillmackie-176435/
Pinnacles,36.48,-121.16,POINT(-121.16 36.48),"Named for the eroded leftovers of a portion of an extinct volcano, the park's massive black and gold monoliths of andesite and rhyolite are a popular destination for rock climbers. Hikers have access to trails crossing the Coast Range wilderness. The park is home to the endangered California condor (Gymnogyps californianus) and one of the few locations in the world where these extremely rare birds can be seen in the wild. Pinnacles also supports a dense population of prairie falcons, and more than 13 species of bat which populate its talus caves.",215555,park_pinnacles,"[{""id"":""state_california"",""title"":""California""}]",108.0,26685.73,2013-01-10,1357797600,False,https://www.nps.gov/pinn/index.htm,pinnacles.jpg,NPS,https://www.nps.gov
Redwood,41.3,-124.0,POINT(-124 41.3),"This park and the co-managed state parks protect almost half of all remaining coastal redwoods, the tallest trees on earth. There are three large river systems in this very seismically active area, and 37 miles (60 km) of protected coastline reveal tide pools and seastacks. The prairie, estuary, coast, river, and forest ecosystems contain a wide variety of animal and plant species.",536297,park_redwood,"[{""id"":""state_california"",""title"":""California""}]",562.5,138999.37,1968-10-02,-39380400,True,https://www.nps.gov/redw/index.htm,redwood.jpg,PixelBay/@12019,https://pixabay.com/en/users/12019-12019/
Rocky Mountain,40.4,-105.58,POINT(-105.58 40.4),"Bisected north to south by the Continental Divide, this portion of the Rockies has ecosystems varying from over 150 riparian lakes to montane and subalpine forests to treeless alpine tundra. Wildlife including mule deer, bighorn sheep, black bears, and cougars inhabit its igneous mountains and glacial valleys. Longs Peak, a classic Colorado fourteener, and the scenic Bear Lake are popular destinations, as well as the historic Trail Ridge Road, which reaches an elevation of more than 12,000 feet (3,700 m).",4517585,park_rocky-mountain,"[{""id"":""state_colorado"",""title"":""Colorado""}]",1075.6,265795.2,1915-01-26,-1733508000,False,https://www.nps.gov/romo/index.htm,rocky-mountain.jpg,@kevinnayar,https://kevinnayar.github.io/
Saguaro,32.25,-110.5,POINT(-110.5 32.25),"Split into the separate Rincon Mountain and Tucson Mountain districts, this park is evidence that the dry Sonoran Desert is still home to a great variety of life spanning six biotic communities. Beyond the namesake giant saguaro cacti, there are barrel cacti, chollas, and prickly pears, as well as lesser long-nosed bats, spotted owls, and javelinas.",820426,park_saguaro,"[{""id"":""state_arizona"",""title"":""Arizona""}]",371.2,91715.72,1994-10-14,782110800,False,https://www.nps.gov/sagu/index.htm,saguaro.jpg,PixelBay/@dehenderson,https://pixabay.com/en/users/dehenderson-6454660/
Sequoia,36.43,-118.68,POINT(-118.68 36.43),"This park protects the Giant Forest, which boasts some of the world's largest trees, the General Sherman being the largest measured tree in the park. Other features include over 240 caves, a long segment of the Sierra Nevada including the tallest mountain in the contiguous United States, and Moro Rock, a large granite dome.",1254688,park_sequoia,"[{""id"":""state_california"",""title"":""California""}]",1635.2,404062.63,1890-09-25,-2501434800,False,https://www.nps.gov/seki/index.htm,sequoia.jpg,PixelBay/@tripastute,https://pixabay.com/en/users/tripastute-5640805/
Biscayne,25.65,-80.08,POINT(-80.08 25.65),"Located in Biscayne Bay, this park at the north end of the Florida Keys has four interrelated marine ecosystems: mangrove forest, the Bay, the Keys, and coral reefs. Threatened animals include the West Indian manatee, American crocodile, various sea turtles, and peregrine falcon.",514709,park_biscayne,"[{""id"":""state_florida"",""title"":""Florida""}]",700.0,172971.11,1980-06-28,331016400,False,https://www.nps.gov/bisc/index.htm,biscayne.jpg,Wikipedia/@Catholic_85,https://en.wikipedia.org/wiki/User:Catholic_85
Shenandoah,38.53,-78.35,POINT(-78.35 38.53),"Shenandoah's Blue Ridge Mountains are covered by hardwood forests that teem with a wide variety of wildlife. The Skyline Drive and Appalachian Trail run the entire length of this narrow park, along with more than 500 miles (800 km) of hiking trails passing scenic overlooks and cataracts of the Shenandoah River.",1437341,park_shenandoah,"[{""id"":""state_virginia"",""title"":""Virginia""}]",806.1,199195.27,1935-12-26,-1073498400,False,https://www.nps.gov/shen/index.htm,shenandoah.jpg,PixelBay/@Skeeze,https://pixabay.com/en/users/skeeze-272447/
Theodore Roosevelt,46.97,-103.45,POINT(-103.45 46.97),"This region that enticed and influenced President Theodore Roosevelt consists of a park of three units in the northern badlands. Besides Roosevelt's historic cabin, there are numerous scenic drives and backcountry hiking opportunities. Wildlife includes American bison, pronghorn, bighorn sheep, and wild horses.",753880,park_theodore-roosevelt,"[{""id"":""state_north-dakota"",""title"":""North Dakota""}]",285.1,70446.89,1978-11-10,279525600,False,https://www.nps.gov/thro/index.htm,theodore-roosevelt.jpg,NPS,https://www.nps.gov
Virgin Islands,18.33,-64.73,POINT(-64.73 18.33),"This island park on Saint John preserves Taíno archaeological sites and the ruins of sugar plantations from Columbus's time, as well as all the natural environs. Surrounding the pristine beaches are mangrove forests, seagrass beds, and coral reefs.",411343,park_virgin-islands,"[{""id"":""state_us-virgin-islands"",""title"":""US Virgin Islands""}]",60.5,14948.46,1956-08-02,-423342000,False,https://www.nps.gov/viis/index.htm,virgin-islands.jpg,NPS,https://www.nps.gov
